FECHA,OPEN,MAX,MIN,CLOSE,FECHA.year,FECHA.month,FECHA.day-of-month,FECHA.day-of-week,1,2,31,42,45,46,47,48,60,68,75,76,77,88,93,139,171,173,179,187,191,218,221,223,225,231,237,39,41,43,168,172,CLASIFICADOR
2021-08-12,443.6199951171875,445.260009765625,442.6600036621094,445.1099853515625,2021,8,12,3,0.0029969502364324274,0.007583247717951602,0.00836392283529519,0.014957200945800997,0.03138287456234434,0.008624092819590645,0.016788741568126042,3.5436006780244043,3.4198428096175215,0.12375786840688274,62.469857701854025,98.38161706610482,96.43971432788209,2.7085680280412947,0.8315759642245741,0.04510942456513715,0.006707063273406935,4.459991455078125,0.010121392299680565,1.4332054146012354,-0.34977025613447577,0.005841266628655959,0.022828019929873156,0.0,0.3795870479257619,114.66630603538665,-1.6183829338951805,bull,low,neutral,low,end_week,1
2021-08-13,445.5899963378906,445.94000244140625,445.07000732421875,445.9200134277344,2021,8,13,4,0.0018198380239258238,0.0077516401931321255,0.008506021130544328,0.015116833730126622,0.03196140117746338,0.008836233144279948,0.01723466041940891,3.649329760996636,3.4657401998933444,0.18358956110329183,61.97466708033029,99.7991056366971,98.97107352515718,2.644282749720982,0.8387139072309786,0.04463009462383282,0.00636042818764718,7.410003662109375,0.016898140286626173,1.6563131148529298,-0.31970331568430443,0.0019510115962276518,0.023257550828130302,0.0,0.3820976728928931,133.24024438034652,-0.20089436330288735,bull,low,neutral,low,end_week,1
2021-08-16,444.5299987792969,447.1099853515625,442.8699951171875,446.9700012207031,2021,8,16,0,0.002354655008411921,0.010946998132763008,0.00874075224514237,0.014965508056717702,0.03322588154893924,0.00947048295726316,0.01814944016283304,3.774337843550825,3.527459728624841,0.246878114925984,70.41026644234907,98.72857043863904,98.96976438048033,2.587853567940848,0.9242194099983069,0.03527775416211488,0.005046174491736878,9.3800048828125,0.02143560173064296,2.075641091851176,0.3578386317243878,0.00948607338925503,0.02427296532761325,0.0,0.38535203610048474,130.70384852010267,-1.271429561360959,bull,low,overbought,normal,start_week,0
2021-08-17,444.239990234375,444.9599914550781,440.8500061035156,444.0400085449219,2021,8,17,1,-0.00655523338877162,0.0030722325192968913,0.001475028430458103,0.006828378919975675,0.025416989750273622,0.0024131601124883773,0.010616191755589588,3.595534642429243,3.5410747113857215,0.054459931043521426,61.707946661985005,72.11641604878386,90.21469737470666,2.811425345284598,0.7293555036177847,0.029772029937223728,0.004620695229464836,2.8900146484375,0.006551093026005317,1.3336732315913147,0.7174497935329349,0.009255889722708866,0.023906698260203196,-0.00655523338877162,0.3762707301782362,70.43613057431314,-27.88358395121613,bull,low,neutral,high,start_week,0
2021-08-18,442.9599914550781,444.6300048828125,438.9200134277344,439.17999267578125,2021,8,18,2,-0.01094499544098837,-0.01036551019912757,-0.00953078461366108,-0.004713788725483892,0.013402804437418814,-0.00725114115565062,-0.0004120486339120877,3.0267783369759513,3.438215436503768,-0.4114370995278165,47.09370448448838,27.974499341694962,66.27316194303928,3.007138933454241,0.3235989328504531,0.026721996650324657,0.005123208602612528,0.199981689453125,0.00045555989896617355,0.6531221051484982,0.618941521035238,0.013001483560963237,0.02315426738642712,-0.01742848183020529,0.36120745331086956,-3.310185173147634,-72.02550065830503,bull,low,neutral,high,mid_week,1
2021-08-19,436.2699890136719,441.1400146484375,436.1199951171875,439.8599853515625,2021,8,19,3,0.0015483234371362897,-0.011794837619410803,-0.00757195584822179,-0.003669505826342623,0.014119626865315427,-0.004839215085947424,0.001051427125480231,2.600922774509627,3.27075690410494,-0.669834129595313,52.83251799298209,34.15064791074769,44.74718776707551,3.159997122628348,0.34660971913084565,0.023922674927968877,0.005115957122903103,-1.9000244140625,-0.004301033076920091,1.2777151724791966,0.6158607923919674,0.01141276701320694,0.021857083585416825,-0.01590714331996046,0.36331504271363535,-73.6749917949356,-65.8493520892523,bull,low,neutral,high,end_week,1
2021-08-20,440.2300109863281,443.7099914550781,439.7099914550781,443.3599853515625,2021,8,20,4,0.00795707751684338,-0.005741002868414058,0.000128554342737619,0.003869542771980372,0.02125900228764932,0.002604375464160258,0.00834338188301853,2.516837387682642,3.1199730008204805,-0.6031356131378383,60.923895396469376,65.93999029866261,42.68837918370176,3.179997035435268,0.6614628759905281,0.023965526120117354,0.004903757108585232,0.8699951171875,0.001966135136134195,1.7072448396027646,0.24474106420627217,0.009022014011544588,0.02112773188322592,-0.008076640175585514,0.37416304618838647,30.25747671121567,-34.0600097013374,bull,low,neutral,normal,end_week,1
2021-08-23,445.1600036621094,448.2300109863281,443.44000244140625,447.260009765625,2021,8,23,0,0.008796518727259395,0.0006488322351161369,0.00776000070302052,0.011985190650933397,0.02915441607481295,0.009649336589684143,0.015917938253737995,2.733389674479156,3.042656335552216,-0.3092666610730599,61.42060343873603,91.99009125021105,64.02690981987378,3.1578565325055803,0.9533022675531038,0.02643973240113841,0.005237389273749932,5.1300048828125,0.01160293313314531,1.9666683004309984,-0.05889156418597319,0.010709673210962802,0.02122967309366075,0.0,0.3862508971584906,144.99153708853393,-8.009908749788949,bull,low,neutral,low,start_week,1
2021-08-24,447.9700012207031,448.5400085449219,447.4200134277344,447.9700012207031,2021,8,24,1,0.0015874244054374653,0.008850537339325504,0.008158082270973477,0.012565245222096566,0.029711945190035394,0.009504536375557704,0.016211014849120353,2.928540902152463,3.0198332488722657,-0.0912923467198028,67.77381978081385,95.4105740099612,84.4468851862783,3.0764290945870534,0.9447754066066244,0.028250764398063552,0.005089918875197345,5.290008544921875,0.011949960767249523,2.0823560328914734,-0.3200347873914221,0.002500156515247787,0.021379447626417747,0.0,0.38845146566469935,173.36333242144232,-4.589425990038798,bull,low,neutral,low,start_week,1
2021-08-25,448.1700134277344,449.4599914550781,447.7699890136719,448.9100036621094,2021,8,25,2,0.0020983602447592897,0.022154950472689672,0.009108535795947281,0.013535338113909612,0.030715051130151494,0.009817156898362933,0.01696157501656792,3.123049427397291,3.0404764845772707,0.08257294282002015,65.24520144870766,95.87715184443809,94.42593903487011,2.9921439034598216,0.9509916140167289,0.03001239422914754,0.005083648612266382,5.1300048828125,0.011559792908476307,2.179385462983143,-0.28117519945629277,0.003764679841437216,0.02141148802904702,0.0,0.3913649370220278,167.47272694919909,-4.12284815556191,bull,low,neutral,low,mid_week,0
